,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
101,2,BA.1,0.7172390491968011,MinION,minION_31442,0.9159999999999999,0.88324,batch1
102,2,B.1.617.2,0.2283986965682538,Aviti,aviti_31441,0.9159999999999999,0.88324,batch1
103,2,BA.1,0.7543136967111532,Aviti,aviti_31441,0.9159999999999999,0.88324,batch1
104,2,B.1.617.2,0.1836124004167464,Illumina,illumina_31519,0.9159999999999999,0.88324,batch2
105,2,BA.1,0.7972941037912392,Illumina,illumina_31519,0.9159999999999999,0.88324,batch2
106,2,B.1.617.2,0.3417161067905598,Flongle,flongle_31584,0.9159999999999999,0.88324,batch2
107,2,BA.1,0.4478691899617065,Flongle,flongle_31584,0.9159999999999999,0.88324,batch2
108,2,B.1.617.2,0.370630150215166,MinION,minION_31520,0.9159999999999999,0.88324,batch2
109,2,BA.1,0.4809358936711051,MinION,minION_31520,0.9159999999999999,0.88324,batch2
110,2,B.1.617.2,0.1735221336510466,Aviti,aviti_31519,0.9159999999999999,0.88324,batch2
111,2,BA.1,0.7969857048482688,Aviti,aviti_31519,0.9159999999999999,0.88324,batch2
112,2,B.1.617.2,0.3180046603133123,Illumina,illumina_31581,0.9159999999999999,0.88324,batch3
113,2,BA.1,0.6722472363847626,Illumina,illumina_31581,0.9159999999999999,0.88324,batch3
114,2,B.1.617.2,0.2977796692329533,Flongle,flongle_31585,0.9159999999999999,0.88324,batch3
115,2,BA.1,0.4653734837638589,Flongle,flongle_31585,0.9159999999999999,0.88324,batch3
116,2,B.1.617.2,0.3680413708365857,MinION,minION_31582,0.9159999999999999,0.88324,batch3
117,2,BA.1,0.4661997453251376,MinION,minION_31582,0.9159999999999999,0.88324,batch3
118,2,B.1.617.2,0.2982125145846216,Aviti,aviti_31581,0.9159999999999999,0.88324,batch3
119,2,BA.1,0.6946355472869453,Aviti,aviti_31581,0.9159999999999999,0.88324,batch3
120,3,B.1.617.2,0.5762075951627638,Illumina,illumina_31441,0.833,0.77469,batch1
121,3,BA.1,0.4237923975039483,Illumina,illumina_31441,0.833,0.77469,batch1
122,3,B.1.617.2,0.4317311849601808,Flongle,flongle_31583,0.833,0.77469,batch1
123,3,BA.1,0.3325354012424919,Flongle,flongle_31583,0.833,0.77469,batch1
